scenario,scenario_label,run,seed,encountered_unique_issues,raw_reports,accepted_contributions,invalid_reports,merged_duplicates,unmerged_duplicates,workorders,emergency_referrals,effective_report_rate,duplicate_or_invalid_rate,dispatch_accuracy,mean_resolution_hours,mean_submission_minutes,participation_gap_pp,rider_participation_rate,driver_participation_rate,issue_coverage_rate,resolution_rate,late_period_participation_rate
S3,AI 上报加透明反馈加差异化激励,17,20260914,991,1151,832,250,211,69,690,42,0.7228496959165943,0.27715030408340574,0.8652173913043478,26.8919309523888,3.01275346550759,0.8491630017711083,0.49362174154187466,0.4851301115241636,0.6266397578203835,0.8594202898550725,0.4965753424657534
S0,现状基准,18,20260914,989,269,150,113,2,6,154,10,0.5576208178438662,0.4423791821561338,0.6753246753246753,51.45217329723129,8.151523886472333,1.316902317462948,0.11384062312762133,0.1270096463022508,0.14964610717896865,0.7662337662337663,0.12546125461254612
S1,AI 上报,18,20260914,989,691,487,172,87,32,432,28,0.7047756874095513,0.2952243125904486,0.8634259259259259,31.84328232255809,2.985576159790722,0.5286489589815424,0.30017974835230676,0.3054662379421222,0.4044489383215369,0.8032407407407407,0.2933579335793358
S2,AI 上报加透明反馈,18,20260914,989,961,695,220,153,46,588,29,0.7232049947970863,0.2767950052029136,0.8520408163265306,26.75733645015046,3.010908485088727,0.20055523553199062,0.4200119832234871,0.4180064308681672,0.5480283114256825,0.8775510204081632,0.4575645756457565
S3,AI 上报加透明反馈加差异化激励,18,20260914,989,1094,772,255,199,67,640,36,0.7056672760511883,0.2943327239488117,0.8546875,26.78252527348161,3.0116169807742272,0.44532509791758157,0.4787297783103655,0.4742765273311897,0.5793731041456016,0.86875,0.5
S0,现状基准,19,20260914,983,283,151,121,1,11,161,9,0.5335689045936396,0.4664310954063604,0.6956521739130435,52.20498668084636,8.049837429350266,0.9619113244972153,0.12174817898022892,0.13136729222520108,0.1525940996948118,0.7267080745341615,0.10746812386156648
S1,AI 上报,19,20260914,983,673,478,162,86,33,425,23,0.7102526002971769,0.2897473997028232,0.8564705882352941,31.747348013234348,2.998712903609489,4.283546238976937,0.30020811654526536,0.257372654155496,0.3987792472024415,0.8023529411764706,0.30783242258652094
S2,AI 上报加透明反馈,19,20260914,983,911,655,205,153,51,553,38,0.7189901207464325,0.2810098792535675,0.8499095840867993,27.54933828649346,3.0225620210856143,1.3004494313061998,0.39906347554630595,0.38605898123324395,0.5106815869786369,0.8896925858951176,0.4134790528233151
S3,AI 上报加透明反馈加差异化激励,19,20260914,983,1094,780,249,188,65,657,44,0.7129798903107861,0.2870201096892139,0.8751902587519026,27.127670316408814,3.001555417253659,9.541278772949314,0.4921956295525494,0.3967828418230563,0.602238046795524,0.8721461187214612,0.4972677595628415
S0,现状基准,20,20260914,979,294,144,138,1,12,155,14,0.4897959183673469,0.5102040816326531,0.6838709677419355,51.40060700469505,7.945002898390041,1.4685649088071933,0.13317757009345793,0.118491921005386,0.14606741573033707,0.8064516129032258,0.13957307060755336
S1,AI 上报,20,20260914,979,678,481,168,65,29,445,24,0.7094395280235988,0.29056047197640117,0.8808988764044944,31.442977513561846,3.0336507574630205,0.10402859108374352,0.29906542056074764,0.2980251346499102,0.424923391215526,0.8539325842696629,0.3185550082101806
S2,AI 上报加透明反馈,20,20260914,979,908,649,225,142,34,541,25,0.7147577092511013,0.2852422907488987,0.8539741219963032,27.61070965050841,3.0148807538576383,6.162330743804429,0.415303738317757,0.35368043087971274,0.5178753830439223,0.8650646950092421,0.3645320197044335
S3,AI 上报加透明反馈加差异化激励,20,20260914,979,1038,724,242,168,72,628,36,0.697495183044316,0.302504816955684,0.8375796178343949,27.370950749123956,3.004016655735857,0.6688451148509189,0.4591121495327103,0.4524236983842011,0.567926455566905,0.85828025477707,0.48932676518883417
